"Kreise (2020) Kennziffer";"Kreise (2020) Name";"Siedlungsstruktureller Kreistyp (2020) Kennziffer";"Siedlungsstruktureller Kreistyp (2020) Name"
"05316000";"Leverkusen, Stadt";"1";"kreisfreie Großstadt"
"05334000";"Städteregion Aachen";"2";"Städtischer Kreis"
"05358000";"Düren";"2";"Städtischer Kreis"
"05362000";"Rhein-Erft-Kreis";"2";"Städtischer Kreis"
"05366000";"Euskirchen";"2";"Städtischer Kreis"
"05370000";"Heinsberg";"2";"Städtischer Kreis"
"05374000";"Oberbergischer Kreis";"2";"Städtischer Kreis"
"05378000";"Rheinisch-Bergischer Kreis";"2";"Städtischer Kreis"
"05382000";"Rhein-Sieg-Kreis";"2";"Städtischer Kreis"
"05512000";"Bottrop, Stadt";"1";"kreisfreie Großstadt"
"05513000";"Gelsenkirchen, Stadt";"1";"kreisfreie Großstadt"
"05515000";"Münster, Stadt";"1";"kreisfreie Großstadt"
"05554000";"Borken";"2";"Städtischer Kreis"
"05558000";"Coesfeld";"2";"Städtischer Kreis"
"05562000";"Recklinghausen";"2";"Städtischer Kreis"
"05566000";"Steinfurt";"2";"Städtischer Kreis"
"05570000";"Warendorf";"2";"Städtischer Kreis"
"05711000";"Bielefeld, Stadt";"1";"kreisfreie Großstadt"
"05754000";"Gütersloh";"2";"Städtischer Kreis"
"05758000";"Herford";"2";"Städtischer Kreis"
"05762000";"Höxter";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"05766000";"Lippe";"2";"Städtischer Kreis"
"05770000";"Minden-Lübbecke";"2";"Städtischer Kreis"
"05774000";"Paderborn";"2";"Städtischer Kreis"
"05911000";"Bochum, Stadt";"1";"kreisfreie Großstadt"
"05913000";"Dortmund, Stadt";"1";"kreisfreie Großstadt"
"05914000";"Hagen, Stadt der FernUniversität";"1";"kreisfreie Großstadt"
"05915000";"Hamm, Stadt";"1";"kreisfreie Großstadt"
"05916000";"Herne, Stadt";"1";"kreisfreie Großstadt"
"05954000";"Ennepe-Ruhr-Kreis";"2";"Städtischer Kreis"
"05958000";"Hochsauerlandkreis";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"05962000";"Märkischer Kreis";"2";"Städtischer Kreis"
"05966000";"Olpe";"2";"Städtischer Kreis"
"05970000";"Siegen-Wittgenstein";"2";"Städtischer Kreis"
"05974000";"Soest";"2";"Städtischer Kreis"
"05978000";"Unna";"2";"Städtischer Kreis"
"06411000";"Darmstadt, Wissenschaftsstadt";"1";"kreisfreie Großstadt"
"06412000";"Frankfurt am Main, Stadt";"1";"kreisfreie Großstadt"
"06413000";"Offenbach am Main, Stadt";"1";"kreisfreie Großstadt"
"06414000";"Wiesbaden, Landeshauptstadt";"1";"kreisfreie Großstadt"
"06431000";"Bergstraße";"2";"Städtischer Kreis"
"06432000";"Darmstadt-Dieburg";"2";"Städtischer Kreis"
"06433000";"Groß-Gerau";"2";"Städtischer Kreis"
"06434000";"Hochtaunuskreis";"2";"Städtischer Kreis"
"06435000";"Main-Kinzig-Kreis";"2";"Städtischer Kreis"
"06436000";"Main-Taunus-Kreis";"2";"Städtischer Kreis"
"06437000";"Odenwaldkreis";"2";"Städtischer Kreis"
"06438000";"Offenbach";"2";"Städtischer Kreis"
"06439000";"Rheingau-Taunus-Kreis";"2";"Städtischer Kreis"
"06440000";"Wetteraukreis";"2";"Städtischer Kreis"
"06531000";"Gießen";"2";"Städtischer Kreis"
"06532000";"Lahn-Dill-Kreis";"2";"Städtischer Kreis"
"06533000";"Limburg-Weilburg";"2";"Städtischer Kreis"
"06534000";"Marburg-Biedenkopf";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"06535000";"Vogelsbergkreis";"4";"Dünn besiedelter ländlicher Kreis"
